N	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort	Inserction Sort	Bubble Sort	Selection Sort	Merge Sort	Quick Sort	Radix Sort	Shell Sort
100	0.0057106	0.0002522	0.000302	0.0076964	0.0038342	0.0057402	0.000784	0.00464	0.0086686	0.0027202	0.0063162	0.0034024	0.0117264	0.001386	0.0069982	0.0126028	0.001876	0.01001	0.0070582	0.0091362	0.004138	0.006484	0.0035002	0.000802	0.0057564	0.0037282	0.00682	0.002228	0.005878	0.0040482	0.00111	0.006158	0.0039224	0.0088944	0.003048	0.007614	0.0085104	0.001482	0.0075962	0.0043262	0.0114704	0.003402
4096	502.846	0.0031382	0.002362	0.1724	0.12078	0.164949	0.0478336	553.994	156.173	335.451	0.211285	0.139765	0.226939	0.0776102	538.799	165.706	176.316	0.334012	0.226161	0.218305	0.392494	588.861	629.148	0.426149	0.222423	0.175164	0.205347	0.256224	50.232	771.982	0.911549	0.259955	0.158607	0.210507	0.30857	509.276	942.915	120.883	0.267972	0.177064	0.204603	0.346753
8092	198.523	0.004354	0.004666	0.354293	0.252444	0.338685	0.0699202	208.517	603.504	133.961	0.387786	0.271967	0.448653	0.145867	228.388	717.325	844.507	104.158	0.67121	0.611332	0.9254	357.651	272.699	189.438	0.475111	0.335867	0.434408	0.6159	246.576	410.957	32.394	0.536683	0.348162	0.435256	0.633952	20.485	41.046	431.166	0.541303	0.384264	0.424913	0.817697
12088	449.546	0.0070002	0.0069882	0.62469	0.400175	0.636152	0.121142	428.709	137.68	303.382	0.607065	0.427688	0.643493	0.224845	481.275	177.766	160.437	114.469	0.775749	0.637328	107.681	564.888	599.871	336.268	0.710759	0.477531	0.590495	0.894477	502.201	791.753	713.186	0.785177	0.527337	0.617392	100.241	43.006	101.76	932.964	0.851477	0.647997	0.824482	110.553
16084	838.925	0.0128286	0.0126866	0.74413	0.515417	112.878	0.154145	720.144	246.708	591.549	0.755385	0.565952	0.87377	0.313696	792.271	309.489	275.926	145.294	0.981363	0.851696	143.143	832.339	108.12	613.192	0.925726	0.669087	0.787361	131.014	867.705	146.382	113.041	0.973247	0.686164	0.789137	132.377	811.445	176.449	155.875	106.638	0.74328	0.833335	141.115
20080	130.013	0.0104264	0.010722	0.939502	0.635476	100.305	0.201044	110.75	387.35	895.171	0.969375	0.698142	119.888	0.417073	126.349	495.335	419.567	18.596	12.456	121.302	18.655	131.648	171.444	915.315	115.138	0.785423	0.982161	171.001	131.73	225.397	173.125	128.884	0.86656	102.896	171.191	119.591	275.586	248.663	144.373	0.95661	103.576	178.821
24076	184.719	0.0127648	0.0132102	111.853	0.757454	121.859	0.32124	179.368	537.929	127.564	11.954	0.853467	183.424	0.485431	178.902	734.445	596.294	242.138	158.157	133.293	241.317	184.508	250.173	136.676	135.906	0.951244	160.879	208.969	196.905	329.103	24.28	152.254	105.401	130.837	216.277	188.958	521.469	547.897	242.771	140.806	152.005	267.398
28072	316.518	0.0160642	0.0166448	173.844	115.132	153.417	0.542219	273.558	800.291	164.619	139.359	0.970359	15.338	0.583325	254.251	1040.65	822.535	263.813	179.492	145.402	270.414	272.433	388.789	183.439	165.425	112.415	145.976	245.612	259.05	459.924	332.117	184.017	125.214	139.882	25.316	246.16	589.328	514.685	247.388	177.493	15.721	31.868
32068	428.028	0.0176608	0.0167046	145.112	102.338	164.937	0.329818	287.861	970.81	217.789	159.716	110.527	172.335	0.748383	329.73	1364.86	107.143	339.702	206.779	248.534	322.834	318.023	469.837	22.516	17.795	12.925	206.721	274.705	327.647	585.419	437.284	206.741	144.908	169.164	306.897	328.871	771.192	596.127	234.435	15.917	162.511	308.902
36064	409.928	0.0291568	0.027521	190.095	118.811	181.539	0.392333	362.63	1232.02	272.667	206.512	130.327	217.393	0.720969	416.768	1757.71	138.705	39.738	252.003	189.457	364.382	434.629	580.073	282.202	218.648	158.026	187.881	317.985	437.624	866.907	542.688	242.675	165.959	181.572	329.778	405.043	959.075	755.397	261.027	177.583	18.399	371.503
